,year,num_immigrants,total_pop,migrant_pop_percentage,GDP,GDP_PC1,Unemployment_rate
0,1948,170570,154000000.0,0.11075974025974025,274.46775,9.95621,3.8
1,1949,188317,156000000.0,0.12071602564102564,272.47525,-0.72595,5.9
2,1950,249187,158804400.0,0.15691441798841846,299.82725,10.03834,5.3
3,1951,205717,160872260.0,0.12787599303944633,346.91325,15.70438,3.3
4,1952,265520,163266030.0,0.16263027893800075,367.34075,5.88836,3.0
5,1953,170434,165910000.0,0.10272677957928998,389.2175,5.95544,2.9
6,1954,208177,168736390.0,0.12337409849766254,390.549,0.3421,5.5
7,1955,237790,171685340.0,0.138503380661389,425.4795,8.94395,4.4
8,1956,321625,174705010.0,0.18409603708559932,449.3525,5.61085,4.1
9,1957,326867,177751480.0,0.18388988941189127,474.0395,5.49391,4.3
10,1958,253265,180788390.0,0.14008919488690616,481.2285,1.51654,6.8
11,1959,260686,183786250.0,0.1418419495473682,521.65425,8.40053,5.5
12,1960,265398,186720570.0,0.14213645556030596,542.38225,3.97351,5.5
13,1961,271344,189569850.0,0.14313668550141279,562.20975,3.65563,6.7
14,1962,283763,192313750.0,0.14755211210846858,603.9215,7.41925,5.5
15,1963,306260,194932400.0,0.15711087535986834,637.4515,5.55205,5.7
16,1964,292248,197408500.0,0.14804225755223308,684.4615,7.37468,5.2
17,1965,296697,199733680.0,0.14854630425875096,742.29025,8.4488,4.6
18,1966,323040,201895760.0,0.16000336014981195,813.41375,9.58163,3.8
19,1967,361972,203905080.0,0.17751985384572075,859.95625,5.72187,3.8
20,1968,454448,205805760.0,0.22081403358195614,940.6465,9.38306,3.6
21,1969,358579,207659270.0,0.1726766158813907,1017.615,8.18251,3.5
22,1970,373326,209513340.0,0.17818722187331842,1073.3105,5.47314,4.9
23,1971,370478,211384080.0,0.17526296209250952,1164.84975,8.52868,5.9
24,1972,384685,213269810.0,0.18037480316599896,1279.112,9.80918,5.6
25,1973,398515,215178800.0,0.18520179497236716,1425.376,11.43481,4.9
26,1974,393919,217114900.0,0.1814334253429866,1545.2425,8.40947,5.6
27,1975,385378,219081250.0,0.17590642740992213,1684.905,9.03823,8.3
28,1976,499093,221086430.0,0.22574565069416516,1873.4125,11.18802,7.6
29,1977,458755,223135660.0,0.20559465932070203,2081.825,11.12475,6.9
30,1978,589810,225223310.0,0.261877866904629,2351.59875,12.95852,6.0
31,1979,394244,227339320.0,0.1734165475642313,2627.32625,11.72511,5.8
32,1980,524295,229476360.0,0.2284745147604747,2857.3085,8.75347,7.0
33,1981,595014,231636070.0,0.2568745014539402,3207.04125,12.23994,7.3
34,1982,533624,233821850.0,0.2282181926111696,3343.78925,4.26399,9.5
35,1983,550052,236030240.0,0.23304302025028656,3634.0365,8.68019,9.5
36,1984,541811,238256850.0,0.2274062634505577,4037.614,11.10549,7.5
37,1985,568149,240499820.0,0.23623676724581333,4338.9805,7.46398,7.2
38,1986,600027,242763140.0,0.24716561171518872,4579.6325,5.54628,7.0
39,1987,599889,245052780.0,0.24479991616499922,4855.21625,6.0176,6.2
40,1988,641346,247372260.0,0.25926350836589357,5236.438,7.8518,5.5
41,1989,1090172,249725810.0,0.4365475879325409,5641.5795,7.73697,5.6
42,1990,1535872,252120310.0,0.6091821797299868,5963.1445,5.69991,6.8
43,1991,1826595,254539370.0,0.7176080462523341,6158.12925,3.26983,7.5
44,1992,973445,256990610.0,0.37878621323946426,6520.32725,5.88162,6.9
45,1993,903916,259532130.0,0.348286741992215,6858.5585,5.18734,6.1
46,1994,803993,262241200.0,0.30658531153762264,7287.2365,6.25026,5.6
47,1995,720177,265163740.0,0.2715970894059648,7639.74925,4.8374,5.4
48,1996,915560,268335010.0,0.34120035249966074,8073.12175,5.6726,4.9
49,1997,797847,271713630.0,0.2936352512017892,8577.5525,6.24827,4.5
50,1998,653206,275175310.0,0.23737812814674397,9062.81675,5.65737,4.2
51,1999,644787,278548150.0,0.23148134353073246,9631.17175,6.27128,4.0
52,2000,841002,281710910.0,0.29853369896110876,10250.952,6.43515,4.7
53,2001,1058902,284607990.0,0.3720563150739373,10581.929,3.22874,5.8
54,2002,1059356,287279310.0,0.36875471470604687,10929.10825,3.28087,6.0
55,2003,703542,289815570.0,0.24275507351106085,11456.4495,4.82511,5.5
56,2004,957883,292354660.0,0.32764417026908343,12217.19575,6.64033,5.1
57,2005,1122257,294993510.0,0.38043447125328284,13039.197,6.72823,4.6
58,2006,1266129,297758980.0,0.42521941739590857,13815.583,5.95425,4.6
59,2007,1052415,300608430.0,0.35009497238650295,14474.227,4.7674,5.8
60,2008,1107126,303486020.0,0.3648029652239006,14769.86175,2.04249,9.3
61,2009,1130818,306307570.0,0.36917729457355564,14478.06725,-1.97561,9.6
62,2010,1042625,309011470.0,0.3374065694066308,15048.971,3.94323,8.9
